City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,75.25,73,100,12.66,CK,1731629853
1,edinburgh of the seven seas,-37.0676,-12.3116,60.4,92,92,20.42,SH,1731629854
2,bardai,11.65,7.2333,70.54,22,0,9.37,NG,1731629855
3,walvis bay,-22.9575,14.5053,60.53,84,3,4.21,NA,1731629857
4,hawaiian paradise park,19.5933,-154.9731,78.31,80,100,12.66,US,1731629858
5,tura,25.5198,90.2201,63.63,87,0,3.8,IN,1731629694
6,hamilton,39.1834,-84.5333,54.41,92,100,14.0,US,1731629770
7,tiksi,71.6872,128.8694,-12.59,100,98,2.51,RU,1731629861
8,badger,64.8,-147.5333,4.8,82,20,6.91,US,1731629862
9,kenai,60.5544,-151.2583,23.14,87,100,16.11,US,1731629863
10,tazovsky,67.4667,78.7,-14.15,97,87,11.88,RU,1731629864
11,lillehammer,61.1146,10.4674,34.77,81,98,3.78,NO,1731629865
12,puerto natales,-51.7236,-72.4875,46.02,87,100,5.03,CL,1731629867
13,albany,42.6001,-73.9662,37.45,57,100,0.6,US,1731629766
14,port mathurin,-19.6833,63.4167,76.15,75,17,14.16,MU,1731629869
15,west island,-12.1568,96.8225,80.58,89,100,17.27,CC,1731629870
16,minas de marcona,-15.2119,-75.1103,58.37,79,25,9.71,PE,1731629871
17,moyynkum,44.2914,72.9469,29.08,38,14,6.33,KZ,1731629872
18,kristiansund,63.1115,7.732,53.13,82,100,29.93,NO,1731629707
19,college,64.8569,-147.8028,4.89,78,27,4.32,US,1731629874
20,dharangaon,21.0167,75.2667,68.68,55,84,6.15,IN,1731629876
21,grytviken,-54.2811,-36.5092,34.45,57,99,4.74,GS,1731629877
22,mana,5.6592,-53.7767,80.4,85,91,12.06,GF,1731629878
23,fort bragg,35.139,-79.006,55.24,97,100,9.22,US,1731629774
24,jamestown,42.097,-79.2353,41.02,94,100,9.22,US,1731629605
25,blackmans bay,-43.0167,147.3167,54.52,70,93,1.99,AU,1731629881
26,wailua homesteads,22.0669,-159.378,79.59,76,100,21.85,US,1731629882
27,bethel,41.3712,-73.414,40.15,45,0,3.44,US,1731629883
28,adamstown,-25.066,-130.1015,74.48,86,89,9.55,PN,1731629885
29,pisco,-13.7,-76.2167,68.05,83,0,14.97,PE,1731629886
30,port elizabeth,-33.918,25.5701,58.32,92,31,5.44,ZA,1731629887
31,port-aux-francais,-49.35,70.2167,37.98,70,43,26.42,TF,1731629706
32,olyokminsk,60.3736,120.4264,-5.87,99,98,2.19,RU,1731629889
33,puerto ayora,-0.7393,-90.3518,72.55,83,89,4.0,EC,1731629890
34,anadyr,64.75,177.4833,12.7,78,40,11.18,RU,1731629892
35,namtsy,62.7161,129.6658,-8.23,96,100,5.97,RU,1731629840
36,santa terezinha,-29.9002,-50.0904,68.94,71,0,16.4,BR,1731629894
37,tindouf,27.6711,-8.1474,66.4,37,39,7.23,DZ,1731629895
38,isafjordur,66.0755,-23.124,28.54,85,53,32.28,IS,1731629896
39,happy valley-goose bay,53.3168,-60.3315,22.17,84,99,1.25,CA,1731629898
40,hafar al-batin,28.4328,45.9708,61.38,55,0,0.0,SA,1731629899
41,la passe,45.5549,-0.8967,46.36,85,47,14.38,FR,1731629900
42,georgetown,5.4112,100.3354,80.53,88,40,3.0,MY,1731629715
43,enewetak,11.3474,162.3373,83.21,72,61,14.47,MH,1731629902
44,kodiak,57.79,-152.4072,44.11,81,100,4.61,US,1731629903
45,alice springs,-23.7,133.8833,80.15,16,24,10.36,AU,1731629904
46,stanley,54.868,-1.6985,41.02,100,100,4.61,GB,1731629867
47,cockburn town,21.4612,-71.1419,79.93,66,61,14.72,TC,1731629907
48,novyy urengoy,66.0833,76.6333,-3.35,93,100,15.3,RU,1731629908
49,waitangi,-43.9535,-176.5597,56.19,86,100,31.92,NZ,1731629909
50,bahadurganj,26.2667,87.8167,66.81,69,0,2.24,IN,1731629910
51,vila do maio,15.1333,-23.2167,77.47,62,72,11.27,CV,1731629911
52,bilibino,68.0546,166.4372,-16.11,100,96,0.92,RU,1731629912
53,slutsk,53.0274,27.5597,33.42,98,100,9.69,BY,1731629914
54,kapa'a,22.0752,-159.319,80.92,74,100,21.85,US,1731629915
55,tucurui,-3.7661,-49.6725,76.15,86,98,2.48,BR,1731629916
56,sinop,41.7711,34.8709,46.58,93,100,4.74,TR,1731629917
57,aasiaat,68.7098,-52.8699,3.47,99,81,10.38,GL,1731629918
58,leava,-14.3,-178.1667,82.02,77,27,18.81,WF,1731629919
59,mar del plata,-38.0023,-57.5575,73.53,67,71,13.6,AR,1731629886
60,port lincoln,-34.7333,135.8667,62.22,66,2,12.93,AU,1731629921
61,pacocha,-17.5833,-71.3333,64.36,86,12,1.39,PE,1731629923
62,petropavlovsk-kamchatsky,53.0452,158.6483,14.59,57,0,6.71,RU,1731629924
63,margaret river,-33.95,115.0667,62.11,67,100,11.99,AU,1731629925
64,kerikeri,-35.2268,173.9474,66.9,95,100,8.99,NZ,1731629926
65,koh kong,11.6175,102.9806,77.65,89,74,4.05,KH,1731629927
66,port alfred,-33.5906,26.891,56.17,92,56,12.57,ZA,1731629928
67,sola,-13.8833,167.55,81.16,79,48,13.96,VU,1731629929
68,ushuaia,-54.8,-68.3,41.59,96,95,5.93,AR,1731629808
69,thompson,55.7435,-97.8558,26.76,68,100,8.05,CA,1731629932
70,atafu village,-8.5421,-172.5159,82.17,79,100,11.79,TK,1731629933
71,camiri,-20.05,-63.5167,70.7,34,55,0.87,BO,1731629934
72,crane,31.3974,-102.3501,64.96,31,0,13.8,US,1731629936
73,yeppoon,-23.1333,150.7333,81.05,66,69,12.64,AU,1731629937
74,sitka,57.0531,-135.33,42.69,70,75,4.61,US,1731629938
75,yellowknife,62.456,-114.3525,12.42,100,100,6.91,CA,1731629804
76,papatowai,-46.5619,169.4708,49.12,81,100,13.49,NZ,1731629940
77,jamsankoski,61.919,25.1701,34.29,91,96,8.1,FI,1731629941
78,fale old settlement,-9.3852,-171.2468,82.38,77,64,9.46,TK,1731629942
79,remire-montjoly,4.9167,-52.2667,80.64,89,0,3.44,GF,1731629945
80,manturovo,58.3353,44.7619,30.31,84,100,7.83,RU,1731629946
81,bonthe,7.5264,-12.505,78.78,83,75,4.47,SL,1731629947
82,mil'kovo,55.6078,37.7956,33.35,65,100,7.83,RU,1731629948
83,ketchikan,55.3422,-131.6461,42.35,87,75,5.75,US,1731629949
84,broome,42.2506,-75.833,39.7,55,0,9.22,US,1731629950
85,svetlyy,54.675,20.1347,41.99,76,54,8.14,RU,1731629951
86,kuraymah,18.55,31.85,75.06,24,0,13.53,SD,1731629953
87,kovvur,17.0167,81.7333,75.45,78,20,6.91,IN,1731629954
88,labrador city,52.9463,-66.9114,17.51,86,0,4.61,CA,1731629955
89,ust-nera,64.5667,143.2,-21.68,97,87,3.67,RU,1731629956
90,taro,-8.3862,115.28,78.06,71,100,0.85,ID,1731629957
91,huarmey,-10.0681,-78.1522,66.09,86,55,6.42,PE,1731629958
92,invercargill,-46.4,168.35,57.02,67,99,14.0,NZ,1731629959
93,laguna,38.421,-121.4238,59.18,77,100,10.36,US,1731629961
94,cidade velha,14.9167,-23.6167,75.61,66,80,8.14,CV,1731629962
95,kaga bandoro,6.9896,19.1874,72.64,54,42,1.07,CF,1731629963
